Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2021-01-11,38.282814025878906,38.52800648879268,36.5746353987454,36.81165613060495,38246200
2021-01-12,39.1328125,39.36983008394246,38.340020623480505,38.78954060131873,36915100
2021-01-13,39.574161529541016,39.81118225462966,38.97752541030465,39.66406615752576,29000300
2021-01-14,41.11886978149414,41.74819889479614,39.63953746702137,39.63953746702137,35474800
2021-01-15,39.1409797668457,40.11358077071306,38.65059495926543,39.97463643396462,42411300
2021-01-19,39.91743469238281,40.4078196193163,39.516951278413785,39.59868417809692,24932600
2021-01-20,40.48136901855469,40.65300651231165,40.04002392575429,40.13810026662208,22342400
2021-01-21,39.32079315185547,40.36694918172113,38.96934952598668,40.31791256644049,29044500
2021-01-22,38.765018463134766,38.93665283662086,38.119342733021625,38.42174659837197,23264800
2021-01-25,38.331844329833984,38.45443897221738,37.72703349358799,38.331844329833984,26395800
2021-01-26,37.490013122558594,39.1164615807419,37.4736665465508,38.62607365387998,23976800
2021-01-27,37.06501388549805,38.135691299495335,36.39481981499311,36.7789565814255,32410300
2021-01-28,37.64530563354492,38.078479003869795,37.342898641251416,37.54722617333533,24967200
2021-01-29,36.648189544677734,37.62896240962664,36.37847568175562,37.228479039230734,38961100
2021-02-01,36.71356964111328,37.25299732143305,36.19866650264742,37.25299732143305,24412400
2021-02-02,37.29385757446289,38.40539971508044,37.007797193038776,37.44097362941465,31940400
2021-02-03,38.7568473815918,38.96117492734323,37.12222701558035,37.29386452353265,28459300
2021-02-04,39.50060272216797,39.54146760784383,38.61790622617294,39.132812515503375,25280300
2021-02-05,40.82463455200195,40.96357575351743,40.08088258712629,40.1953054866779,34980100
2021-02-08,42.58185577392578,42.79435814993598,41.44579521213412,41.61742958813343,36998700
2021-02-09,42.08314895629883,42.357439996881055,41.36832507669349,42.11639414524891,28977000
2021-02-10,42.49043273925781,42.73978910996382,41.883664407935825,42.0831514069436,25723800
2021-02-11,41.4265022277832,42.33249929060869,40.5454398458078,42.29925093565015,26972200
2021-02-12,41.99170684814453,42.14963176029856,41.06908571178662,41.08570988739293,19756700
2021-02-16,43.25511932373047,43.66240056302422,42.90601794788398,43.18862261566921,28060100
2021-02-17,43.92839431762695,44.27749579888189,43.05564537059739,43.512799278971116,25509700
2021-02-18,43.238494873046875,44.00318798648605,43.105504628503645,43.89513559267673,20627600
2021-02-19,43.529415130615234,43.6873432443538,43.155379033257994,43.31330714699656,22607200
2021-02-22,45.13361358642578,45.55752223593396,43.71227953493181,43.71227953493181,36435100
2021-02-23,45.756996154785156,45.93154524531911,44.66813958653658,45.69881312460717,33527900
2021-02-24,47.12847137451172,47.37782772840836,45.607392225487494,45.87337275907566,28728600
2021-02-25,46.347145080566406,47.58561936394025,46.006357365662886,47.36119772182267,29670900
2021-02-26,45.19179916381836,45.76532228993872,44.15281166952865,45.2250475246128,35291000
2021-03-01,46.87911605834961,47.8848551714144,46.65469438365332,46.93729910318885,36998300
2021-03-02,46.604820251464844,47.34457879978365,46.563261388104756,47.0869119445083,30302600
2021-03-03,46.978851318359375,48.175763576584785,46.44689031470364,46.89573042982711,35358900
2021-03-04,48.79916000366211,49.43086612574319,47.46094370974773,47.477567888827544,52137500
2021-03-05,50.6443977355957,50.74413962963444,49.13163246460143,49.730090170309104,51429800
2021-03-08,50.59452819824219,51.20961011782348,49.72177943957964,51.18467543552215,38154600
2021-03-09,49.81321334838867,51.02674989958084,49.43086673703848,50.37842276114026,35645900
2021-03-10,51.34259796142578,51.46727453781012,49.8963262119086,50.30361063786788,31579100
2021-03-11,50.96024703979492,51.99092060122207,50.918685013808215,51.3509040840232,24802600
2021-03-12,51.50883483886719,51.84130886880632,51.1181746036827,51.159733461082894,20422700
2021-03-15,50.195556640625,51.41740678603566,49.76333751999852,51.109867416436394,31243600
